,state,county,Risk,county,,,,0
2060,Ohio,Darke,0.471837074,Darke,,,,0.471837074
2061,Ohio,Defiance,0.523752272,Defiance,,,,0.523752272
2062,Ohio,Delaware,0.50797689,Delaware,,,,0.50797689
2063,Ohio,Erie,0.663090944,Erie,,,,0.663090944
2064,Ohio,Fairfield,0.538863778,Fairfield,,,,0.538863778
2065,Ohio,Fayette,0.564259112,Fayette,,,,0.564259112
2066,Ohio,Franklin,0.552791178,Franklin,,,,0.552791178
2067,Ohio,Fulton,0.550848424,Fulton,,,,0.550848424
2068,Ohio,Gallia,0.689873934,Gallia,,,,0.689873934
2069,Ohio,Geauga,0.609166145,Geauga,,,,0.609166145
2070,Ohio,Greene,0.627439916,Greene,,,,0.627439916
2071,Ohio,Guernsey,0.612871826,Guernsey,,,,0.612871826
2072,Ohio,Hamilton,0.615191042,Hamilton,,,,0.615191042
2073,Ohio,Hancock,0.63867414,Hancock,,,,0.63867414
2074,Ohio,Hardin,0.619290352,Hardin,,,,0.619290352
2075,Ohio,Harrison,0.646039307,Harrison,,,,0.646039307
2076,Ohio,Henry,0.546099961,Henry,,,,0.546099961
2077,Ohio,Highland,0.558286607,Highland,,,,0.558286607
2078,Ohio,Hocking,0.663793802,Hocking,,,,0.663793802
2079,Ohio,Holmes,0.323567212,Holmes,,,,0.323567212
2080,Ohio,Huron,0.556332588,Huron,,,,0.556332588
2081,Ohio,Jackson,0.693070412,Jackson,,,,0.693070412
2082,Ohio,Jefferson,0.697697341,Jefferson,,,,0.697697341
2083,Ohio,Knox,0.558801413,Knox,,,,0.558801413
2084,Ohio,Lake,0.604401946,Lake,,,,0.604401946
2085,Ohio,Lawrence,0.681449294,Lawrence,,,,0.681449294
2086,Ohio,Licking,0.597893476,Licking,,,,0.597893476
2087,Ohio,Logan,0.46447289,Logan,,,,0.46447289
2088,Ohio,Lorain,0.659274757,Lorain,,,,0.659274757
2089,Ohio,Lucas,0.668306708,Lucas,,,,0.668306708
2090,Ohio,Madison,0.614996195,Madison,,,,0.614996195
2091,Ohio,Mahoning,0.653927803,Mahoning,,,,0.653927803
2092,Ohio,Marion,0.639642298,Marion,,,,0.639642298
2093,Ohio,Medina,0.61721915,Medina,,,,0.61721915
2094,Ohio,Meigs,0.717890859,Meigs,,,,0.717890859
2095,Ohio,Mercer,0.524977267,Mercer,,,,0.524977267
2096,Ohio,Miami,0.596364439,Miami,,,,0.596364439
2097,Ohio,Monroe,0.688556969,Monroe,,,,0.688556969
2098,Ohio,Montgomery,0.663988233,Montgomery,,,,0.663988233
2099,Ohio,Morgan,0.684770346,Morgan,,,,0.684770346
2100,Ohio,Morrow,0.628485084,Morrow,,,,0.628485084
2101,Ohio,Muskingum,0.661302447,Muskingum,,,,0.661302447
2102,Ohio,Noble,0.648065507,Noble,,,,0.648065507
2103,Ohio,Ottawa,0.697581589,Ottawa,,,,0.697581589
2104,Ohio,Paulding,0.498137027,Paulding,,,,0.498137027
2105,Ohio,Perry,0.615995467,Perry,,,,0.615995467
2106,Ohio,Pickaway,0.625889897,Pickaway,,,,0.625889897
2107,Ohio,Pike,0.657831907,Pike,,,,0.657831907
2108,Ohio,Portage,0.625624597,Portage,,,,0.625624597
2109,Ohio,Preble,0.598646879,Preble,,,,0.598646879
2110,Ohio,Putnam,0.55995959,Putnam,,,,0.55995959
2111,Ohio,Richland,0.59124434,Richland,,,,0.59124434
2112,Ohio,Ross,0.66385448,Ross,,,,0.66385448
2113,Ohio,Sandusky,0.573330224,Sandusky,,,,0.573330224
2114,Ohio,Scioto,0.685826361,Scioto,,,,0.685826361
2115,Ohio,Seneca,0.598936081,Seneca,,,,0.598936081
